source,target
GPI,chr19-q13.11
UBA2,chr19-q13.11
SLC7A9,chr19-q13.11
CEP89,chr19-q13.11
WDR88,chr19-q13.11
CBLB,chr3-q13.11
ALCAM,chr3-q13.11
SLC7A10,chr19-q13.11
ZNF599,chr19-q13.11
RGS9BP,chr19-q13.11
ZNF181,chr19-q13.11
KANSL2,chr12-q13.11
PDCD5,chr19-q13.11
ZNF792,chr19-q13.11
HDAC7,chr12-q13.11
VDR,chr12-q13.11
TMEM106C,chr12-q13.11
COL2A1,chr12-q13.11
SENP1,chr12-q13.11
ZNF641,chr12-q13.11
ZNF30,chr19-q13.11
GARRE1,chr19-q13.11
AMIGO2,chr12-q13.11
GRAMD1A,chr19-q13.11
H1-7,chr12-q13.11
LSM14A,chr19-q13.11
HPN,chr19-q13.11
ANP32D,chr12-q13.11
C12orf54,chr12-q13.11
OR8S1,chr12-q13.11
OR5BS1P,chr12-q13.11
LALBA,chr12-q13.11
SCN1B,chr19-q13.11
OR10AD1,chr12-q13.11
NUDT19,chr19-q13.11
SCGB2B2,chr19-q13.11
KCTD15,chr19-q13.11
ZNF302,chr19-q13.11
PI3,chr20-q13.12
SEMG2,chr20-q13.12
KCNS1,chr20-q13.12
WFDC9,chr20-q13.12
ADA,chr20-q13.12
SEMG1,chr20-q13.12
WFDC10A,chr20-q13.12
WFDC5,chr20-q13.12
TOMM34,chr20-q13.12
TOX2,chr20-q13.12
EYA2,chr20-q13.12
WFDC12,chr20-q13.12
YWHAB,chr20-q13.12
WFDC11,chr20-q13.12
ELMO2,chr20-q13.12
SLC2A10,chr20-q13.12
KCNK15,chr20-q13.12
CDH22,chr20-q13.12
SLC35C2,chr20-q13.12
NCOA3,chr20-q13.12
PABPC1L,chr20-q13.12
STK4,chr20-q13.12
RBPJL,chr20-q13.12
SDC4,chr20-q13.12
SYS1,chr20-q13.12
SYS1-DBNDD2,chr20-q13.12
TP53TG5,chr20-q13.12
FITM2,chr20-q13.12
TTPAL,chr20-q13.12
SERINC3,chr20-q13.12
PKIG,chr20-q13.12
OSER1,chr20-q13.12
JPH2,chr20-q13.12
IFT52,chr20-q13.12
MYBL2,chr20-q13.12
GTSF1L,chr20-q13.12
R3HDML,chr20-q13.12
RIMS4,chr20-q13.12
GDAP1L1,chr20-q13.12
SNX21,chr20-q13.12
ACOT8,chr20-q13.12
ZSWIM3,chr20-q13.12
PLTP,chr20-q13.12
PCIF1,chr20-q13.12
ZNF335,chr20-q13.12
MMP9,chr20-q13.12
SLPI,chr20-q13.12
WFDC2,chr20-q13.12
SPINT3,chr20-q13.12
WFDC6,chr20-q13.12
EPPIN-WFDC6,chr20-q13.12
EPPIN,chr20-q13.12
WFDC3,chr20-q13.12
DNTTIP1,chr20-q13.12
UBE2C,chr20-q13.12
TNNC2,chr20-q13.12
ZSWIM1,chr20-q13.12
FAM186B,chr12-q13.12
TEX49,chr12-q13.12
COX14,chr12-q13.12
CCNT1,chr12-q13.12
CCN5,chr20-q13.12
GPD1,chr12-q13.12
NCKAP5L,chr12-q13.12
NEURL2,chr20-q13.12
WFDC13,chr20-q13.12
SPINT4,chr20-q13.12
CTSA,chr20-q13.12
NCOA5,chr20-q13.12
CD40,chr20-q13.12
AQP5,chr12-q13.12
CERS5,chr12-q13.12
SPATA25,chr20-q13.12
DBNDD2,chr20-q13.12
SMARCD1,chr12-q13.12
RACGAP1,chr12-q13.12
FAIM2,chr12-q13.12
TMBIM6,chr12-q13.12
ATF1,chr12-q13.12
FAM186A,chr12-q13.12
SULF2,chr20-q13.12
DIP2B,chr12-q13.12
BCDIN3D,chr12-q13.12
OCSTAMP,chr20-q13.12
SLC13A3,chr20-q13.12
KCNH3,chr12-q13.12
FMNL3,chr12-q13.12
SLC12A5,chr20-q13.12
SGK2,chr20-q13.12
MATN4,chr20-q13.12
WFDC10B,chr20-q13.12
WFDC8,chr20-q13.12
PIGT,chr20-q13.12
DMKN,chr19-q13.12
TP53RK,chr20-q13.12
ZNF334,chr20-q13.12
HNF4A,chr20-q13.12
ZMYND8,chr20-q13.12
ZNF790,chr19-q13.12
ZNF565,chr19-q13.12
ZNF850,chr19-q13.12
HAUS5,chr19-q13.12
HAMP,chr19-q13.12
COX6B1,chr19-q13.12
COX7A1,chr19-q13.12
MCRS1,chr12-q13.12
UPK1A,chr19-q13.12
ZNF420,chr19-q13.12
KRTDAP,chr19-q13.12
GAPDHS,chr19-q13.12
MAG,chr19-q13.12
FFAR1,chr19-q13.12
TMEM147,chr19-q13.12
SBSN,chr19-q13.12
USF2,chr19-q13.12
TMPRSS12,chr12-q13.12
ATP4A,chr19-q13.12
AQP6,chr12-q13.12
BBX,chr3-q13.12
PMIS2,chr19-q13.12
CCDC54,chr3-q13.12
CD22,chr19-q13.12
ASIC1,chr12-q13.12
FFAR3,chr19-q13.12
SPATS2,chr12-q13.12
RBM42,chr19-q13.12
CCDC65,chr12-q13.12
FKBP11,chr12-q13.12
WNT10B,chr12-q13.12
DDN,chr12-q13.12
RHEBL1,chr12-q13.12
DHH,chr12-q13.12
TUBA1B,chr12-q13.12
ARF3,chr12-q13.12
ZFP14,chr19-q13.12
ZFP82,chr19-q13.12
ZNF260,chr19-q13.12
ZNF529,chr19-q13.12
ZNF585A,chr19-q13.12
ZNF585B,chr19-q13.12
LGI4,chr19-q13.12
FXYD7,chr19-q13.12
FXYD5,chr19-q13.12
ZNF527,chr19-q13.12
ZNF569,chr19-q13.12
ZNF540,chr19-q13.12
ZNF571,chr19-q13.12
ZNF781,chr19-q13.12
ZNF607,chr19-q13.12
AQP2,chr12-q13.12
FXYD1,chr19-q13.12
ZNF570,chr19-q13.12
IGFLR1,chr19-q13.12
U2AF1L4,chr19-q13.12
PSENEN,chr19-q13.12
LIN37,chr19-q13.12
HSPB6,chr19-q13.12
PROSER3,chr19-q13.12
PRODH2,chr19-q13.12
PRPF40B,chr12-q13.12
KIRREL2,chr19-q13.12
APLP1,chr19-q13.12
NFKBID,chr19-q13.12
HCST,chr19-q13.12
TYROBP,chr19-q13.12
ZNF829,chr19-q13.12
FFAR2,chr19-q13.12
NPHS1,chr19-q13.12
METTL7A,chr12-q13.12
HIGD1C,chr12-q13.12
LETMD1,chr12-q13.12
ZNF146,chr19-q13.12
CSRNP2,chr12-q13.12
TUBA1A,chr12-q13.12
PRPH,chr12-q13.12
TROAP,chr12-q13.12
C1QL4,chr12-q13.12
DNAJC22,chr12-q13.12
CACNB3,chr12-q13.12
DDX23,chr12-q13.12
RND1,chr12-q13.12
ADCY6,chr12-q13.12
SLC11A2,chr12-q13.12
CLIP3,chr19-q13.12
THAP8,chr19-q13.12
POLR2I,chr19-q13.12
TBCB,chr19-q13.12
CAPNS1,chr19-q13.12
WDR62,chr19-q13.12
CD47,chr3-q13.12
LMBR1L,chr12-q13.12
LSR,chr19-q13.12
PRKAG1,chr12-q13.12
FXYD3,chr19-q13.12
ZFP30,chr19-q13.12
ZNF383,chr19-q13.12
KMT2D,chr12-q13.12
WNT1,chr12-q13.12
TUBA1C,chr12-q13.12
LARP4,chr12-q13.12
ZBTB32,chr19-q13.12
ZNF567,chr19-q13.12
KMT2B,chr19-q13.12
ARHGAP33,chr19-q13.12
ZNF345,chr19-q13.12
ZNF793,chr19-q13.12
ZNF382,chr19-q13.12
ETV2,chr19-q13.12
ZNF568,chr19-q13.12
ZNF461,chr19-q13.12
LIMA1,chr12-q13.12
LRFN3,chr19-q13.12
SDHAF1,chr19-q13.12
SYNE4,chr19-q13.12
ALKBH6,chr19-q13.12
ZNF875,chr19-q13.12
ZNF566,chr19-q13.12
OVOL3,chr19-q13.12
GPR42,chr19-q13.12
FAM187B,chr19-q13.12
RIPOR3,chr20-q13.13
SPATA2,chr20-q13.13
KCNB1,chr20-q13.13
RNF114,chr20-q13.13
PREX1,chr20-q13.13
PTGIS,chr20-q13.13
SNAI1,chr20-q13.13
B4GALT5,chr20-q13.13
SLC9A8,chr20-q13.13
CSE1L,chr20-q13.13
STAU1,chr20-q13.13
ARFGEF2,chr20-q13.13
SPRYD3,chr12-q13.13
HOXC9,chr12-q13.13
ZNFX1,chr20-q13.13
PARD6B,chr20-q13.13
ADNP,chr20-q13.13
MOCS3,chr20-q13.13
DDX27,chr20-q13.13
KRT74,chr12-q13.13
DPM1,chr20-q13.13
KCNG1,chr20-q13.13
KRT6B,chr12-q13.13
KRT76,chr12-q13.13
HOXC10,chr12-q13.13
HOXC11,chr12-q13.13
HOXC8,chr12-q13.13
CELA1,chr12-q13.13
SMAGP,chr12-q13.13
HOXC4,chr12-q13.13
KRT86,chr12-q13.13
BCAS4,chr20-q13.13
KRT85,chr12-q13.13
ITGB7,chr12-q13.13
ITGA5,chr12-q13.13
KRT6C,chr12-q13.13
IGFBP6,chr12-q13.13
KRT2,chr12-q13.13
KRT5,chr12-q13.13
BIN2,chr12-q13.13
GALNT6,chr12-q13.13
KRT84,chr12-q13.13
KRT75,chr12-q13.13
RARG,chr12-q13.13
KRT1,chr12-q13.13
SLC4A8,chr12-q13.13
PEDS1-UBE2V1,chr20-q13.13
PEDS1,chr20-q13.13
CEBPB,chr20-q13.13
PTPN1,chr20-q13.13
KRT72,chr12-q13.13
KRT83,chr12-q13.13
SOAT2,chr12-q13.13
KRT73,chr12-q13.13
KRT6A,chr12-q13.13
KRT77,chr12-q13.13
UBE2V1,chr20-q13.13
HOXC6,chr12-q13.13
CALCOCO1,chr12-q13.13
KRT80,chr12-q13.13
KRT71,chr12-q13.13
ZNF740,chr12-q13.13
GTSF1,chr12-q13.13
DAZAP2,chr12-q13.13
HOXC13,chr12-q13.13
SIPA1L3,chr19-q13.13
HOXC12,chr12-q13.13
NCKAP1L,chr12-q13.13
GUCA1C,chr3-q13.13
DZIP3,chr3-q13.13
DPPA2,chr3-q13.13
C3orf85,chr3-q13.13
MORC1,chr3-q13.13
IFT57,chr3-q13.13
SMIM41,chr12-q13.13
TRAT1,chr3-q13.13
ZBED2,chr3-q13.13
KRT82,chr12-q13.13
TNS2,chr12-q13.13
NECTIN3,chr3-q13.13
WDR87,chr19-q13.13
EIF4B,chr12-q13.13
ZNF385A,chr12-q13.13
CD96,chr3-q13.13
ANKRD33,chr12-q13.13
ACVRL1,chr12-q13.13
ACVR1B,chr12-q13.13
TAMALIN,chr12-q13.13
NR4A1,chr12-q13.13
MFSD5,chr12-q13.13
ESPL1,chr12-q13.13
PFDN5,chr12-q13.13
MYG1,chr12-q13.13
AAAS,chr12-q13.13
SP7,chr12-q13.13
SP1,chr12-q13.13
AMHR2,chr12-q13.13
PRR13,chr12-q13.13
CBX5,chr12-q13.13
NFE2,chr12-q13.13
COPZ1,chr12-q13.13
GPR84,chr12-q13.13
HNRNPA1,chr12-q13.13
SCN8A,chr12-q13.13
HOXC5,chr12-q13.13
FIGNL2,chr12-q13.13
ZNF573,chr19-q13.13
ATG101,chr12-q13.13
TMDD1,chr12-q13.13
SMUG1,chr12-q13.13
PCBP2,chr12-q13.13
MAP3K12,chr12-q13.13
TARBP2,chr12-q13.13
ATF7-NPFF,chr12-q13.13
ATF7,chr12-q13.13
ATP5MC2,chr12-q13.13
NPFF,chr12-q13.13
TFCP2,chr12-q13.13
KRT3,chr12-q13.13
KRT4,chr12-q13.13
KRT79,chr12-q13.13
KRT78,chr12-q13.13
KRT18,chr12-q13.13
KRT8,chr12-q13.13
CSAD,chr12-q13.13
KRT7,chr12-q13.13
KRT81,chr12-q13.13
POU6F1,chr12-q13.13
RETNLB,chr3-q13.13
HHLA2,chr3-q13.13
MYH15,chr3-q13.13
CIP2A,chr3-q13.13
DPPA4,chr3-q13.13
MCAT,chr22-q13.2
MC3R,chr20-q13.2
CBLN4,chr20-q13.2
ATP9A,chr20-q13.2
SLC16A2,chrX-q13.2
ZCCHC13,chrX-q13.2
SLC25A17,chr22-q13.2
PFDN4,chr20-q13.2
TTLL12,chr22-q13.2
PABPC1L2A,chrX-q13.2
TSHZ2,chr20-q13.2
DOK5,chr20-q13.2
ZFP64,chr20-q13.2
SALL4,chr20-q13.2
CHADL,chr22-q13.2
NFATC2,chr20-q13.2
NAP1L2,chrX-q13.2
MPPED1,chr22-q13.2
RFC3,chr13-q13.2
BIK,chr22-q13.2
TTLL1,chr22-q13.2
TSPO,chr22-q13.2
EP300,chr22-q13.2
DNAJB7,chr22-q13.2
RBX1,chr22-q13.2
CENPC,chr4-q13.2
XPNPEP3,chr22-q13.2
PACSIN2,chr22-q13.2
L3MBTL2,chr22-q13.2
UGT2B10,chr4-q13.2
TMPRSS11B,chr4-q13.2
UGT2B11,chr4-q13.2
PABPC1L2B,chrX-q13.2
NDUFA6,chr22-q13.2
STAP1,chr4-q13.2
NFAM1,chr22-q13.2
RRP7A,chr22-q13.2
TMPRSS11D,chr4-q13.2
UGT2B28,chr4-q13.2
UGT2B7,chr4-q13.2
RANGAP1,chr22-q13.2
RLIM,chrX-q13.2
ZC3H7B,chr22-q13.2
TEF,chr22-q13.2
TOB2,chr22-q13.2
PHF5A,chr22-q13.2
POLR3H,chr22-q13.2
CSDC2,chr22-q13.2
PMM1,chr22-q13.2
DESI1,chr22-q13.2
XRCC6,chr22-q13.2
SNU13,chr22-q13.2
UBA6,chr4-q13.2
UGT2A3,chr4-q13.2
NDUFS8,chr11-q13.2
LRFN4,chr11-q13.2
MEI1,chr22-q13.2
SREBF2,chr22-q13.2
TCIRG1,chr11-q13.2
TNFRSF13C,chr22-q13.2
CENPM,chr22-q13.2
PC,chr11-q13.2
LINC00634,chr22-q13.2
WBP2NL,chr22-q13.2
NAGA,chr22-q13.2
PHETA2,chr22-q13.2
CCDC134,chr22-q13.2
SYT12,chr11-q13.2
C11orf24,chr11-q13.2
FAM210B,chr20-q13.2
AURKA,chr20-q13.2
LRP5,chr11-q13.2
PPP1R1A,chr12-q13.2
TMPRSS11E,chr4-q13.2
RCE1,chr11-q13.2
CSTF1,chr20-q13.2
TMPRSS11F,chr4-q13.2
OR10A7,chr12-q13.2
LACRT,chr12-q13.2
ZNF217,chr20-q13.2
RHOD,chr11-q13.2
DCD,chr12-q13.2
GAL,chr11-q13.2
KDM2A,chr11-q13.2
CHKA,chr11-q13.2
UNC93B1,chr11-q13.2
CYP2D6,chr22-q13.2
ACO2,chr22-q13.2
KMT5B,chr11-q13.2
TCF20,chr22-q13.2
CDX4,chrX-q13.2
SHISA8,chr22-q13.2
MCHR1,chr22-q13.2
CENPH,chr5-q13.2
MRTFA,chr22-q13.2
SRP54,chr14-q13.2
SULF1,chr8-q13.2
C8orf34,chr8-q13.2
ST13,chr22-q13.2
SCUBE1,chr22-q13.2
GNRHR,chr4-q13.2
SEPTIN3,chr22-q13.2
MRPS36,chr5-q13.2
FAM177A1,chr14-q13.2
SERHL2,chr22-q13.2
ATP5MGL,chr22-q13.2
SMDT1,chr22-q13.2
A4GALT,chr22-q13.2
ARFGAP3,chr22-q13.2
POLDIP3,chr22-q13.2
CYB5R3,chr22-q13.2
TESPA1,chr12-q13.2
FCHO2,chr5-q13.2
CYP24A1,chr20-q13.2
BCAS1,chr20-q13.2
PDE1B,chr12-q13.2
NFKBIA,chr14-q13.2
INSM2,chr14-q13.2
BRMS1L,chr14-q13.2
CHIC1,chrX-q13.2
RALGAPA1,chr14-q13.2
LGALS16,chr19-q13.2
RINL,chr19-q13.2
LGALS14,chr19-q13.2
CLC,chr19-q13.2
NFKBIB,chr19-q13.2
CEACAM21,chr19-q13.2
RAB4B-EGLN2,chr19-q13.2
CCNB1,chr5-q13.2
CEACAM7,chr19-q13.2
EGLN2,chr19-q13.2
ZNF366,chr5-q13.2
CEACAM6,chr19-q13.2
CEACAM3,chr19-q13.2
CYP2A6,chr19-q13.2
ECH1,chr19-q13.2
LYPD4,chr19-q13.2
MAP1B,chr5-q13.2
MAP3K10,chr19-q13.2
DMRTC2,chr19-q13.2
PTCD2,chr5-q13.2
SMN2,chr5-q13.2
CYP2B6,chr19-q13.2
CCNP,chr19-q13.2
RPS19,chr19-q13.2
TMEM171,chr5-q13.2
CD79A,chr19-q13.2
RAB1B,chr11-q13.2
CNIH2,chr11-q13.2
YIF1A,chr11-q13.2
TMEM151A,chr11-q13.2
CD248,chr11-q13.2
RIN1,chr11-q13.2
BRMS1,chr11-q13.2
B4GAT1,chr11-q13.2
SLC29A2,chr11-q13.2
NPAS4,chr11-q13.2
CPA6,chr8-q13.2
CYP2A13,chr19-q13.2
CYP2F1,chr19-q13.2
YTHDC1,chr4-q13.2
FBXO17,chr19-q13.2
CATSPERG,chr19-q13.2
PREX2,chr8-q13.2
PSG3,chr19-q13.2
MIA-RAB4B,chr19-q13.2
MIA,chr19-q13.2
FBXO27,chr19-q13.2
GTF2H2,chr5-q13.2
PSG8,chr19-q13.2
BLVRB,chr19-q13.2
RABAC1,chr19-q13.2
RAB4B,chr19-q13.2
NEPRO,chr3-q13.2
TMPRSS11A,chr4-q13.2
ABHD10,chr3-q13.2
GCSAM,chr3-q13.2
C11orf80,chr11-q13.2
KLC2,chr11-q13.2
TMPRSS7,chr3-q13.2
CD200,chr3-q13.2
RASGRP4,chr19-q13.2
CD200R1,chr3-q13.2
CFAP44,chr3-q13.2
SPICE1,chr3-q13.2
TAGLN3,chr3-q13.2
ITPKC,chr19-q13.2
POLD4,chr11-q13.2
C19orf54,chr19-q13.2
CLCF1,chr11-q13.2
PPP1CA,chr11-q13.2
BTLA,chr3-q13.2
TBC1D10C,chr11-q13.2
SLC9C1,chr3-q13.2
RPS6KB2,chr11-q13.2
ATP1A3,chr19-q13.2
ATG3,chr3-q13.2
PTPRCAP,chr11-q13.2
CORO1B,chr11-q13.2
GPR152,chr11-q13.2
TMEM134,chr11-q13.2
PLD3,chr19-q13.2
SNRPA,chr19-q13.2
PHLDB2,chr3-q13.2
SLC35A5,chr3-q13.2
AKT2,chr19-q13.2
USF3,chr3-q13.2
ACP7,chr19-q13.2
PAK4,chr19-q13.2
MRPL11,chr11-q13.2
EPHA5,chr4-q13.2
PELI3,chr11-q13.2
NCCRP1,chr19-q13.2
IFNL1,chr19-q13.2
PLCXD2,chr3-q13.2
GMFG,chr19-q13.2
BBS1,chr11-q13.2
PAF1,chr19-q13.2
MED29,chr19-q13.2
ZFP36,chr19-q13.2
PLEKHG2,chr19-q13.2
ZDHHC24,chr11-q13.2
ACTN3,chr11-q13.2
RPS16,chr19-q13.2
SUPT5H,chr19-q13.2
TIMM50,chr19-q13.2
DLL3,chr19-q13.2
EID2B,chr19-q13.2
EID2,chr19-q13.2
CTSF,chr11-q13.2
LRFN1,chr19-q13.2
PPP6R3,chr11-q13.2
CABP4,chr11-q13.2
HIPK4,chr19-q13.2
SERTAD1,chr19-q13.2
SERTAD3,chr19-q13.2
SYCN,chr19-q13.2
ARFGEF1,chr8-q13.2
ARHGEF1,chr19-q13.2
GDF11,chr12-q13.2
SARNP,chr12-q13.2
ORMDL2,chr12-q13.2
MMP19,chr12-q13.2
DGKA,chr12-q13.2
SARS2,chr19-q13.2
TMEM174,chr5-q13.2
IFNL2,chr19-q13.2
PRX,chr19-q13.2
PSMC4,chr19-q13.2
ZNF546,chr19-q13.2
ZNF780B,chr19-q13.2
BAZ1A,chr14-q13.2
PPP2R3C,chr14-q13.2
PRORP,chr14-q13.2
PSMA6,chr14-q13.2
CYP2S1,chr19-q13.2
AXL,chr19-q13.2
CCDC97,chr19-q13.2
TMEM91,chr19-q13.2
B9D2,chr19-q13.2
BCKDHA,chr19-q13.2
ERICH4,chr19-q13.2
NAIP,chr5-q13.2
SERF1B,chr5-q13.2
DMAC2,chr19-q13.2
UGT2B17,chr4-q13.2
UGT2B15,chr4-q13.2
RDH5,chr12-q13.2
CD63,chr12-q13.2
GRK2,chr11-q13.2
ANKRD13D,chr11-q13.2
SSH3,chr11-q13.2
OR6C70,chr12-q13.2
OR6C68,chr12-q13.2
RAD9A,chr11-q13.2
PITPNM1,chr11-q13.2
CDK2AP2,chr11-q13.2
CABP2,chr11-q13.2
GSTP1,chr11-q13.2
NDUFV1,chr11-q13.2
NUDT8,chr11-q13.2
ACY3,chr11-q13.2
ALDH3B2,chr11-q13.2
ZNF526,chr19-q13.2
ERF,chr19-q13.2
TMEM145,chr19-q13.2
FAN1,chr15-q13.2
CCDC87,chr11-q13.2
CCS,chr11-q13.2
RBM14,chr11-q13.2
RBM14-RBM4,chr11-q13.2
RBM4,chr11-q13.2
RBM4B,chr11-q13.2
MEGF8,chr19-q13.2
CNFN,chr19-q13.2
LIPE,chr19-q13.2
CXCL17,chr19-q13.2
CEACAM1,chr19-q13.2
AIP,chr11-q13.2
CEACAM8,chr19-q13.2
MRPS27,chr5-q13.2
SMN1,chr5-q13.2
SHKBP1,chr19-q13.2
LTBP4,chr19-q13.2
GOLGA8H,chr15-q13.2
NUMBL,chr19-q13.2
COQ8B,chr19-q13.2
CHRFAM7A,chr15-q13.2
FOXD1,chr5-q13.2
ANKRA2,chr5-q13.2
UTP15,chr5-q13.2
SPTBN2,chr11-q13.2
TGFB1,chr19-q13.2
TBX10,chr11-q13.2
SERF1A,chr5-q13.2
GSK3A,chr19-q13.2
ZNF574,chr19-q13.2
DEDD2,chr19-q13.2
PSG1,chr19-q13.2
GOLGA8J,chr15-q13.2
GOLGA8T,chr15-q13.2
SIDT1,chr3-q13.2
C3orf52,chr3-q13.2
CCDC80,chr3-q13.2
PAFAH1B3,chr19-q13.2
MRPS12,chr19-q13.2
GOLGA8R,chr15-q13.2
MAP4K1,chr19-q13.2
EIF3K,chr19-q13.2
ARHGAP11B,chr15-q13.2
CAPN12,chr19-q13.2
C11orf86,chr11-q13.2
LGALS7B,chr19-q13.2
LGALS4,chr19-q13.2
ACTN4,chr19-q13.2
GOLGA8Q,chr15-q13.2
CDK7,chr5-q13.2
CCDC125,chr5-q13.2
AK6,chr5-q13.2
RAD17,chr5-q13.2
MARVELD2,chr5-q13.2
GTF2H2C,chr5-q13.2
OCLN,chr5-q13.2
RAB5B,chr12-q13.2
SUOX,chr12-q13.2
IKZF4,chr12-q13.2
RPS26,chr12-q13.2
PA2G4,chr12-q13.2
RPL41,chr12-q13.2
ESYT1,chr12-q13.2
ZC3H10,chr12-q13.2
MYL6B,chr12-q13.2
MYL6,chr12-q13.2
SMARCC2,chr12-q13.2
ALDH3B1,chr11-q13.2
CARTPT,chr5-q13.2
TNPO1,chr5-q13.2
SPINT2,chr19-q13.2
PPP1R14A,chr19-q13.2
YIF1B,chr19-q13.2
C19orf33,chr19-q13.2
DNAJC14,chr12-q13.2
ARHGEF28,chr5-q13.2
DPP3,chr11-q13.2
OR2AP1,chr12-q13.2
OR6C2,chr12-q13.2
MCCC2,chr5-q13.2
CYP2A7,chr19-q13.2
PRR19,chr19-q13.2
HNRNPL,chr19-q13.2
PYM1,chr12-q13.2
PMEL,chr12-q13.2
CDK2,chr12-q13.2
OR6C4,chr12-q13.2
ERBB3,chr12-q13.2
OR6C75,chr12-q13.2
OR6C76,chr12-q13.2
OR6C6,chr12-q13.2
NEUROD4,chr12-q13.2
OR9K2,chr12-q13.2
BDP1,chr5-q13.2
BTF3,chr5-q13.2
CIC,chr19-q13.2
OR6C65,chr12-q13.2
TAF9,chr5-q13.2
CARNS1,chr11-q13.2
ERFL,chr19-q13.2
LGALS7,chr19-q13.2
CCER2,chr19-q13.2
OR6C3,chr12-q13.2
C19orf47,chr19-q13.2
OR6C74,chr12-q13.2
ZNF780A,chr19-q13.2
OR10P1,chr12-q13.2
ITGA7,chr12-q13.2
METTL7B,chr12-q13.2
B3GNT8,chr19-q13.2
MUCL1,chr12-q13.2
OR6C1,chr12-q13.2
BLOC1S1,chr12-q13.2
LEUTX,chr19-q13.2
DYRK1B,chr19-q13.2
FBL,chr19-q13.2
HNRNPUL1,chr19-q13.2
LGALS13,chr19-q13.2
CEACAM5,chr19-q13.2
SPTBN4,chr19-q13.2
SIRT2,chr19-q13.2
SELENOV,chr19-q13.2
BOC,chr3-q13.2
RYR1,chr19-q13.2
FCGBP,chr19-q13.2
CEACAM4,chr19-q13.2
GRIK5,chr19-q13.2
TTC9B,chr19-q13.2
DPF1,chr19-q13.2
KCNK6,chr19-q13.2
IFNL3,chr19-q13.2
POU2F2,chr19-q13.2
EXOSC5,chr19-q13.2
PSMD8,chr19-q13.2
GGN,chr19-q13.2
SPRED3,chr19-q13.2
SAMD4B,chr19-q13.2
FAM98C,chr19-q13.2
GTPBP8,chr3-q13.2
CD200R1L,chr3-q13.2
CCNA1,chr13-q13.3
SLC25A21,chr14-q13.3
SOHLH2,chr13-q13.3
POSTN,chr13-q13.3
CCDC169-SOHLH2,chr13-q13.3
UPRT,chrX-q13.3
PROSER1,chr13-q13.3
MAGEE1,chrX-q13.3
PBDC1,chrX-q13.3
MAGEE2,chrX-q13.3
FREM2,chr13-q13.3
UFM1,chr13-q13.3
NHLRC3,chr13-q13.3
ZDHHC15,chrX-q13.3
SERTM1,chr13-q13.3
SULT1B1,chr4-q13.3
CCDC169,chr13-q13.3
AFM,chr4-q13.3
DCK,chr4-q13.3
CABS1,chr4-q13.3
SMR3B,chr4-q13.3
GC,chr4-q13.3
STOML3,chr13-q13.3
SMR3A,chr4-q13.3
ADAMTS3,chr4-q13.3
PARM1,chr4-q13.3
UGT2B4,chr4-q13.3
CXCL8,chr4-q13.3
EREG,chr4-q13.3
BTC,chr4-q13.3
NEXMIF,chrX-q13.3
CXCL6,chr4-q13.3
AFP,chr4-q13.3
FMN1,chr15-q13.3
MUC7,chr4-q13.3
SMAD9,chr13-q13.3
CSNK1A1L,chr13-q13.3
OPRPN,chr4-q13.3
RASSF6,chr4-q13.3
ALB,chr4-q13.3
RFXAP,chr13-q13.3
TRPC4,chr13-q13.3
TESMIN,chr11-q13.3
FGF3,chr11-q13.3
ABCB7,chrX-q13.3
SHMT2,chr12-q13.3
DCLK1,chr13-q13.3
GLS2,chr12-q13.3
SPART,chr13-q13.3
RBMS2,chr12-q13.3
TIMELESS,chr12-q13.3
MAB21L1,chr13-q13.3
HEXB,chr5-q13.3
XKR9,chr8-q13.3
AREG,chr4-q13.3
NKX2-8,chr14-q13.3
PAX9,chr14-q13.3
ZBED3,chr5-q13.3
AMTN,chr4-q13.3
ENAM,chr4-q13.3
UTP3,chr4-q13.3
RUFY3,chr4-q13.3
POC5,chr5-q13.3
AGGF1,chr5-q13.3
GCNT4,chr5-q13.3
COX18,chr4-q13.3
MOB1B,chr4-q13.3
PRDM14,chr8-q13.3
NXPH4,chr12-q13.3
SLCO5A1,chr8-q13.3
SUPT20H,chr13-q13.3
SULT1E1,chr4-q13.3
CSN1S1,chr4-q13.3
NBEA,chr13-q13.3
STATH,chr4-q13.3
HTN1,chr4-q13.3
PRR27,chr4-q13.3
HTN3,chr4-q13.3
JCHAIN,chr4-q13.3
ALG5,chr13-q13.3
EXOSC8,chr13-q13.3
MIP,chr12-q13.3
EYA1,chr8-q13.3
GOLGA8O,chr15-q13.3
S100Z,chr5-q13.3
LRP1,chr12-q13.3
CRHBP,chr5-q13.3
CHRNA7,chr15-q13.3
MIPOL1,chr14-q13.3
CPT1A,chr11-q13.3
MRPL21,chr11-q13.3
MRGPRD,chr11-q13.3
MRGPRF,chr11-q13.3
TPCN2,chr11-q13.3
LACTB2,chr8-q13.3
IGHMBP2,chr11-q13.3
TRAM1,chr8-q13.3
SPRYD4,chr12-q13.3
NCOA2,chr8-q13.3
STAC3,chr12-q13.3
NKX2-1,chr14-q13.3
INHBC,chr12-q13.3
INHBE,chr12-q13.3
GLI1,chr12-q13.3
ARHGAP9,chr12-q13.3
MARS1,chr12-q13.3
MBD6,chr12-q13.3
PIP4K2C,chr12-q13.3
DTX3,chr12-q13.3
ARHGEF25,chr12-q13.3
B4GALNT1,chr12-q13.3
OS9,chr12-q13.3
SLC4A4,chr4-q13.3
RYR3,chr15-q13.3
